sepal_length,sepal_width,petal_length,petal_width,species
6.2,2.83,2.68,1.11,setosa
5.69,2.82,3.24,1.18,versicolor
6.32,2.28,2.8,1.24,setosa
7.02,2.87,3.87,1.77,virginica
5.61,3.29,5.5,0.75,virginica
5.61,2.49,2.54,0.69,virginica
7.06,3.42,5.2,1.94,setosa
6.41,3.2,2.53,0.92,versicolor
5.42,2.71,2.43,0.44,versicolor
6.23,2.94,4.93,0.91,versicolor
5.43,3.64,5.08,1.0,setosa
5.43,3.29,4.98,2.13,setosa
5.99,3.0,1.73,1.75,virginica
4.27,2.9,3.0,1.89,versicolor
4.42,3.03,4.93,1.69,setosa
5.35,2.8,3.76,1.77,versicolor
4.99,2.16,2.09,0.79,versicolor
6.05,3.82,4.39,1.08,setosa
5.07,3.06,2.63,0.61,setosa
4.67,3.16,6.39,1.07,virginica
6.97,2.98,6.02,1.61,virginica
5.62,2.71,4.61,1.28,virginica
5.85,2.93,5.74,1.99,versicolor
4.66,2.36,3.8,0.52,versicolor
5.36,3.91,4.85,1.5,virginica
5.89,2.51,5.92,0.45,versicolor
4.88,2.59,4.07,1.26,versicolor
6.1,2.82,3.32,1.64,versicolor
5.32,3.52,1.14,1.07,versicolor
5.57,3.01,3.58,1.53,setosa
5.32,2.51,4.94,0.62,setosa
7.28,3.5,5.12,0.2,virginica
5.79,3.29,4.46,1.53,virginica
4.95,3.22,2.89,2.25,versicolor
6.46,3.29,0.73,0.6,versicolor
4.82,3.96,2.96,1.93,setosa
5.97,3.87,3.24,1.23,versicolor
4.23,2.73,3.23,0.4,versicolor
4.74,3.65,4.63,0.52,virginica
5.96,3.15,6.68,1.21,versicolor
6.39,3.2,3.89,0.96,setosa
5.94,2.32,3.37,0.41,versicolor
5.71,2.93,3.31,0.18,versicolor
5.56,2.67,3.89,0.69,versicolor
4.62,3.33,2.46,1.32,versicolor
5.22,3.43,3.88,1.2,versicolor
5.43,2.17,4.38,0.9,setosa
6.65,2.99,4.01,1.32,virginica
6.07,3.45,4.39,1.82,versicolor
4.39,2.93,4.35,1.44,virginica
6.06,3.29,1.04,1.13,virginica
5.49,3.14,4.66,1.76,setosa
5.26,3.14,2.69,0.62,virginica
6.29,2.89,2.06,1.07,versicolor
6.62,2.51,2.04,1.08,versicolor
6.55,2.55,4.35,0.46,versicolor
5.13,3.28,3.37,0.95,versicolor
5.55,3.01,1.18,-0.04,setosa
6.07,2.94,4.42,2.35,virginica
6.58,2.83,1.54,0.64,setosa
5.42,2.88,3.91,2.15,virginica
5.65,3.42,4.06,1.22,setosa
4.91,2.87,5.03,1.54,setosa
4.84,2.46,6.37,0.91,setosa
6.45,3.3,1.65,1.32,versicolor
6.88,2.92,3.62,1.59,versicolor
5.74,3.01,3.29,1.6,setosa
6.6,3.64,4.35,1.66,virginica
6.09,2.99,4.02,0.98,virginica
5.28,3.12,3.17,0.91,versicolor
6.09,2.53,3.04,0.24,setosa
7.03,2.91,2.03,1.51,versicolor
5.77,3.24,5.18,1.85,versicolor
7.05,2.38,4.39,2.17,versicolor
3.7,3.08,5.08,1.38,setosa
6.46,3.04,3.23,0.74,setosa
5.87,3.02,2.71,0.18,versicolor
5.56,3.41,2.08,1.83,setosa
5.87,3.13,4.24,0.12,virginica
4.21,3.59,2.14,1.0,virginica
